a,b,eu_km,net_km,net_over_eu
"Empire State Building, Manhattan, NY","The High Line, Manhattan, NY",1.622204201047919,2.354443826967406,1.4513856057372256
"Times Square, Manhattan, NY","The High Line, Manhattan, NY",1.9000803233401382,2.647582745735584,1.393405696176789
"Rockefeller Center, Manhattan, NY","The High Line, Manhattan, NY",2.4620590093068095,3.3652325572984796,1.3668366779908976
"Times Square, Manhattan, NY","Rockefeller Center, Manhattan, NY",0.5649788570635939,0.7278689526399607,1.2883118430713805
"Times Square, Manhattan, NY","Empire State Building, Manhattan, NY",0.9530173477206266,1.2150760781125813,1.2749779225097342
"Empire State Building, Manhattan, NY","Rockefeller Center, Manhattan, NY",1.2949895525328003,1.5864413290451236,1.2250611025720544
"Washington Square Park, Manhattan, NY","The High Line, Manhattan, NY",1.9673546633067298,2.3496629069295736,1.1943260413352517
"Central Park, Manhattan, NY","The High Line, Manhattan, NY",5.127195577857857,6.068111354510663,1.1835147035771787
"Washington Square Park, Manhattan, NY","Brooklyn Bridge, Manhattan, NY",2.7982988619945184,3.293542463897073,1.1769802391834459
"Central Park, Manhattan, NY","Rockefeller Center, Manhattan, NY",2.889163463508753,3.2281258394540906,1.1173219792602818
"Times Square, Manhattan, NY","Central Park, Manhattan, NY",3.3494560910326974,3.6879064758461,1.1010463715943364
"Empire State Building, Manhattan, NY","Brooklyn Bridge, Manhattan, NY",4.830744902773165,5.291252079863103,1.095328398902947
"Brooklyn Bridge, Manhattan, NY","The High Line, Manhattan, NY",4.721215521017234,5.168724981619594,1.0947869163375832
"Times Square, Manhattan, NY","Brooklyn Bridge, Manhattan, NY",5.765566840108029,6.308443129818516,1.0941583550699614
"Rockefeller Center, Manhattan, NY","Brooklyn Bridge, Manhattan, NY",6.106629298912731,6.679808380751059,1.0938617777143245
"Central Park, Manhattan, NY","Brooklyn Bridge, Manhattan, NY",8.95174425205324,9.727756889073033,1.0866884279945555
"One World Trade Center, Manhattan, NY","Washington Square Park, Manhattan, NY",2.3845216106297373,2.5467423746946296,1.0680307376296123
"Empire State Building, Manhattan, NY","Central Park, Manhattan, NY",4.182580890562883,4.455162776400703,1.0651707385869917
"Central Park, Manhattan, NY","One World Trade Center, Manhattan, NY",8.742171758572066,9.171007410737234,1.0490536749915347
"Central Park, Manhattan, NY","Washington Square Park, Manhattan, NY",6.375586383928631,6.643981795898513,1.042097368901854
"Times Square, Manhattan, NY","Washington Square Park, Manhattan, NY",3.0645255446964117,3.191201547560135,1.0413362528770413
"Times Square, Manhattan, NY","One World Trade Center, Manhattan, NY",5.40437857639717,5.613275723286046,1.0386533148882655
"Empire State Building, Manhattan, NY","One World Trade Center, Manhattan, NY",4.573113606964194,4.724455141821708,1.0330937623388676
"One World Trade Center, Manhattan, NY","Rockefeller Center, Manhattan, NY",5.856420178382571,6.04477383577656,1.0321619097771104
"One World Trade Center, Manhattan, NY","The High Line, Manhattan, NY",3.921811738303787,4.013644659980597,1.0234159433967445
"Rockefeller Center, Manhattan, NY","Washington Square Park, Manhattan, NY",3.4864241058536067,3.562566798492678,1.0218397677182274
"Empire State Building, Manhattan, NY","Washington Square Park, Manhattan, NY",2.1952039677205506,2.1974295269829924,1.0010138280064937
"One World Trade Center, Manhattan, NY","Brooklyn Bridge, Manhattan, NY",1.637692616941307,1.5754774856292622,0.96201049533444
